ダウンロードした時刻：2017/12/13 15:26:25,,
,,
,練馬,練馬
年月日,平均風速(m/s),降水量の合計(mm)
,,
,,
2017/8/9,1.1,0.5
2017/8/10,1.1,11
2017/8/11,1,1
2017/8/12,0.7,11
2017/8/13,1,2.5
2017/8/14,0.9,64.5
2017/8/15,1,39.5
2017/8/16,1.8,13
2017/8/17,1.2,3.5
2017/8/18,0.9,0
2017/8/19,1.4,56
2017/8/20,0.8,0
2017/8/21,0.9,0
2017/8/22,1,0
2017/8/23,0.9,0
2017/8/24,1,0
2017/8/25,1.1,0
2017/8/26,1.4,0
2017/8/27,1.3,0
2017/8/28,1.2,0
2017/8/29,1.6,0
2017/8/30,1.4,0
2017/8/31,2.2,4
2017/9/1,2.5,2
2017/9/2,2.7,9.5
2017/9/3,1.3,0
2017/9/4,1.4,2
2017/9/5,1,1
2017/9/6,0.8,5
2017/9/7,0.6,2
2017/9/8,1.1,0
2017/9/9,1,0
2017/9/10,1.1,0
2017/9/11,1.3,2
2017/9/12,0.9,3.5
2017/9/13,1,0
2017/9/14,1.7,0
2017/9/15,1.7,0
2017/9/16,1.2,7
2017/9/17,1.9,47.5
2017/9/18,2.6,20
2017/9/19,0.8,0
2017/9/20,0.8,0
2017/9/21,1.7,0
2017/9/22,1.1,50
2017/9/23,1.7,15
2017/9/24,0.6,0
2017/9/25,0.9,0
2017/9/26,1.2,0
2017/9/27,1.3,2.5
2017/9/28,1.8,26.5
2017/9/29,0.7,0
2017/9/30,1.1,0
2017/10/1,1,0
2017/10/2,0.7,3.5
2017/10/3,1.5,0
2017/10/4,1.7,0
2017/10/5,1.2,0
2017/10/6,1.9,24.5
2017/10/7,1.5,28.5
2017/10/8,0.8,0
2017/10/9,0.7,0
2017/10/10,0.7,0
2017/10/11,1,0
2017/10/12,1.2,1.5
2017/10/13,1.6,5.5
2017/10/14,1.2,19.5
2017/10/15,1.1,12.5
2017/10/16,2.1,30.5
2017/10/17,1.3,6
2017/10/18,1.4,0
2017/10/19,2.4,35.5
2017/10/20,2.1,12.5
2017/10/21,1.7,21.5
2017/10/22,2.8,139.5
2017/10/23,3.8,80.5
2017/10/24,1.3,0
2017/10/25,1.8,6
2017/10/26,1,0
2017/10/27,0.9,0
2017/10/28,1.6,8
2017/10/29,1.9,85.5
2017/10/30,4.2,0
2017/10/31,1.5,0
2017/11/1,1,0
2017/11/2,1,0
2017/11/3,1.1,2.5
2017/11/4,2.3,0.5
2017/11/5,1.9,0
2017/11/6,0.9,0
2017/11/7,0.6,0
2017/11/8,0.7,0
2017/11/9,3.4,0
2017/11/10,0.9,0
2017/11/11,3.3,0
2017/11/12,2.5,0
2017/11/13,1,5
2017/11/14,0.8,2
2017/11/15,1,0
2017/11/16,1.9,0
2017/11/17,0.8,0
2017/11/18,1.4,0
2017/11/19,2.4,0
2017/11/20,0.7,0
2017/11/21,2,0
2017/11/22,1.2,1.5
2017/11/23,2,18.5
2017/11/24,1,0
2017/11/25,0.6,0
2017/11/26,1.5,0
2017/11/27,1.3,0
2017/11/28,1.3,0
2017/11/29,0.7,0
2017/11/30,1.6,1.5
2017/12/1,1.3,0
2017/12/2,1,0
2017/12/3,1.1,0
2017/12/4,1.1,0.5
2017/12/5,1.6,0
2017/12/6,1.1,0
2017/12/7,0.9,0
2017/12/8,1.3,3.5
2017/12/9,1.4,0
2017/12/10,0.9,0
2017/12/11,1.7,0
2017/12/12,1.6,0
